sample_id,price
217392,3285
209156,1103
262333,248
295979,642
50604,1010
184343,788
11241,139
17551,49
13187,1362
55004,662
182180,130
104303,86
21764,3477
70671,304
165919,1036
261335,257
18662,70
72584,1347
143166,1326
186882,236
39645,360
159533,68
60187,3358
170797,822
66314,546
51091,274
287788,1332
164102,58
84407,1776
222817,521
82351,132
146107,2199
288989,740
237589,643
76467,384
140742,385
113002,130
233032,1860
195259,539
62879,1417
80530,854
137179,994
33905,269
133818,59
77796,54
36107,382
154665,139
37027,514
240232,487
245432,305
127312,562
171816,1032
16997,976
240492,1283
288383,432
13764,3396
187870,373
11448,792
43719,318
232550,968
115910,2771
60725,895
104621,2719
22217,86
120241,63
216080,1008
73501,839
214869,1009
275959,319
267698,83
149544,2309
176733,952
17129,1554
269085,1674
29960,308
93964,1752
68575,197
243936,1818
85054,153
220124,428
92050,120
160003,441
110326,2581
143699,2215
66426,688
297010,359
221734,1056
57696,541
151150,1366
17929,2304
16136,2960
221234,1956
252779,86
269532,1773
77067,1056
289489,1336
297033,648
79518,62
262905,143
231581,1402
